ID,許可證字號,中文品名,主要功效,主要成分,申請商,警語簡化,網址
309,衛署健食字第A00070號,如新華茂益生菌配方（膠囊食品）,胃腸功能改善,每份含PCC乳酸桿菌  2x10^9 CFU以上,美商如新華茂股份有限公司台灣分公司,本產品非藥品，供保健用，罹病者仍需就醫。請依建議攝取量食用，勿過量,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=65
310,衛署健食字第A00071號,紅麴養生穀粉,調節血脂,每一份量30 g：含HMG-CoA 還原酵素抑制劑4.8毫克。,佳格食品股份有限公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=66
311,衛署健食字第A00073號,統一四物雞精,抗疲勞,"甲肌肽：218~300 毫克/瓶 
肌  肽：48~ 68 毫克/瓶",統一企業股份有限公司,支鏈有機酸尿症（例如楓糖尿症）患者應避免食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=68
312,衛署健食字第A00076號,炳翰人參粉,調節血糖,每一份量 1.0 公克,炳翰製藥廠股份有限公司,A、本產品非屬治療及矯正疾病用藥品。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=70
313,衛署健食字第A00077號,可立清機能性粉末,調節血脂,每份L-精胺酸5000 毫克,友華生技醫藥股份有限公司,孕婦及哺乳婦，食用前請先洽醫療專業人員。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=71
314,衛署健食字第A00081號,桂格黃金麩片燕麥片,調節血脂,每一份量50 公克：含 β-聚葡萄糖  1.65~2.47 公克,佳格食品股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=74
315,衛署健食字第A00083號,白蘭氏五味子芝麻錠,護肝,芝麻素 、五味子素B,馬來西亞商三得利食品飲料股份有限公司台灣分公司,1. 內附乾燥劑，請勿食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=77
316,衛署健食字第A00086號,愛之味蕃茄汁(強化膳食纖維),調節血脂,難消化性麥芽糊精,愛之味股份有限公司,本產品含難消化性麥芽糊精，食用後可能產生排氣或脹氣現象，若有不適者，請停止食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=80
317,衛署健食字第A00089號,愛之味春心茶,調節血脂功能,兒茶素,愛之味股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=82
318,衛署健食字第A00090號,統一陽光山藥薏仁高纖豆奶,調節血脂功能,黃豆蛋白質;菊糖,統一企業股份有限公司,1. 肝及腎功能不佳者，請洽詢醫師或營養師有關食用本品之意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=83
319,衛署健食字第A00091號,活靈芝菌絲體滋補液,免疫調節功能,靈芝粗多醣,佳格食品股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=84
320,衛署健食字第A00092號,元氣豆®納豆萃取膠囊,調節血脂功能,以HMG-COA還原酵素抑制劑-Monacolin K作為品管指標成份， 每粒軟,懷特生技新藥股份有限公司,1.手術前後、糖尿病或妊娠糖尿病病人及幼童，不宜食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=85
321,衛署健食字第A00093號,健康好理由植醇葵花油,調節血脂,植醇 2.0% ± 0.4%,泰山企業股份有限公司,1.三少（少鹽、少糖、少油）的飲食原則，有助身體健康。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=86
322,衛署健食字第A00098號,台糖果寡醣,胃腸功能改善,果寡醣,台灣糖業股份有限公司,(1)腸躁症及糖尿病患者食用前請先洽詢醫師或營養師；,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=89
323,衛署健食字第A00099號,成長奶粉健康三益菌配方,胃腸功能改善,1.總乳酸菌 A菌：Lactobacillus acidophilus C菌：L,佳格食品股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=199
324,衛署健食字第A00100號,益力蔘膠囊,抗疲勞功能,每顆膠囊含總人蔘配醣體 Total Ginsenosides,信東生技股份有限公司園區分公司,請勿超過建議用量，如有不適產生應立即停止食用並就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=92
325,衛署健食字第A00101號,綠寶綠藻片,"調節血糖, 免疫調節","免疫調節：葉綠素為品管指標
調節血糖：α-次亞麻油酸",台灣綠藻工業股份有限公司,1.本產品不具第一型糖尿病患者之血糖調節作用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=91
326,衛署健食字第A00102號,杏輝敏益苓膠囊,"輔助調整過敏體質, 免疫調節",羊毛蘭烷三萜類 Lanostanes,杏輝藥品工業股份有限公司,有過敏體質或自體免疫疾病者，請洽詢醫師意見小心使用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=93
327,衛署健食字第A00105號,統一TGL機能優酪乳,護肝功能,1. 胺基乙酸glycine 2. 胺基丙酸alanine 3. 胺基乙磺酸,統一企業股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=401
328,衛署健食字第A00106號,乳香世家優酪乳,胃腸功能改善,"1.總乳酸菌數 
2.Bifidobacterium lactis",光泉牧場股份有限公司,1.本產品含有牛奶，對其過敏者不宜食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=96
329,衛署健食字第A00107號,白蘭氏旭沛蜆精,護肝,1.肝糖 2.總水解精胺酸、丙胺酸、甘胺酸,馬來西亞商三得利食品飲料股份有限公司台灣分公司,1.GOT、GPT值持續異常升高可能是肝病變所引起應立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=402
330,衛署健食字第A00109號,綺麗健康玄米植醇機能調合油,調節血脂功能,植物固醇,統一企業股份有限公司,（1）三少（少鹽、少糖、少油）的飲食原則，有助身體健康。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=98
331,衛署健食字第A00110號,金宏裕人蔘膠囊,免疫調節,"人蔘皂苷
Ginsenosides 150毫克 / 粒",金宏裕生物科技有限公司,1.若食用後發生任何異於平常或非預期之反應，應諮詢醫師。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=99
332,衛署健食字第A00111號,果醋覺醒蘋果醋飲料,胃腸功能改善,菊苣纖維,統一企業股份有限公司,本品含有菊苣纖維，飲用後會促進腸道蠕動，並產生脹氣及排氣等現象，若有不適者，請停止飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=100
333,衛署健食字第A00112號,植物固醇牛乳,調節血脂,植物固醇,光泉牧場股份有限公司,本產品含牛奶，對其過敏者不宜食用。該產線亦生產含芒果、花生、芝麻、牛奶、蛋、堅果類、含麩質之穀物及大豆製品。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=101
334,衛署健食字第A00113號,愛之味鮮采蕃茄汁(OLIGO保健),胃腸功能改善,異麥芽寡醣,愛之味股份有限公司,無,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=102
335,衛署健食字第A00114號,養氣人蔘雞精,"抗疲勞, 護肝",雞精『以總支鏈胺基酸「Leucine、Isoleucine、Valine」為品管,佳格食品股份有限公司,孕婦或有特殊體質者，請向專業人士洽詢；支鏈有機酸尿症（例如楓糖尿症）患者應避免食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1520
336,衛署健食字第A00116號,賜多利菁華 (粉末食品),"輔助調整過敏體質功能, 免疫調節功能","1.特定免疫球蛋白G
2.總免疫球蛋白G",連法國際實業股份有限公司,․對牛奶過敏者不適飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=105
337,衛署健食字第A00117號,愛之味油切分解茶,"調節血糖, 不易形成體脂肪",難消化性麥芽糊精 1.35～1.65 公克/100 毫升,愛之味股份有限公司,1.本產品非屬治療及矯正疾病用藥品，糖尿病患者仍需就醫治療。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=106
338,衛署健食字第A00118號,統一陽光高纖燕麥穀奶,調節血脂,β葡萄聚糖、菊苣纖維,統一企業股份有限公司,本品含有菊苣纖維，飲用後會促進腸道蠕動，若有脹氣不適者請停止飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=107
339,衛署健食字第A00121號,養樂多藍莓優酪乳,胃腸功能改善,活性乳酸菌,養樂多股份有限公司,過敏原資訊：本產品含有牛奶。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=135
340,衛署健食字第A00122號,養樂多草苺優酪乳,胃腸功能改善,活性乳酸菌,養樂多股份有限公司,過敏原資訊：本產品含有牛奶。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=110
341,衛署健食字第A00123號,養樂多原味優酪乳,胃腸功能改善,活性乳酸菌,養樂多股份有限公司,過敏原資訊：本產品含有牛奶。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=111
342,衛署健食字第A00124號,國鼎力提牛樟芝菌絲體膠囊,護肝,安卓奎諾爾® 為品管指標成分,國鼎生物科技股份有限公司,(1) AST(GOT)、ALT(GPT)值持續異常升高可能是肝臟疾病所引起，應立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=112
343,衛署健食字第A00125號,康敏膠囊,輔助調整過敏體質,每顆含：Lactobacillus salivarius PM-A0006＞5.,光晟生物科技股份有限公司,使用本產品時若有發疹、嘔吐、下痢等身體不適現象，請停止食用， 並諮詢專業醫師。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=113
344,衛署健食字第A00126號,“科達”股立補膠囊,骨質保健功能,Imperatorin;Osthol,科達製藥股份有限公司,無,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=114
